Institution,Country/territory
Polytechnical University of Kabul,Afghanistan
Agricultural University of Tirana (UBT),Albania
University of Tlemcen,Algeria
University of Batna,Algeria
University of Jijel,Algeria
University Ferhat Abbas of Setif (UFAS),Algeria
Larbi Ben M'hidi University of Oum El Bouaghi,Algeria
Djillali Liabes University (UDL),Algeria
Centre de Recherche en Technologie des Semi-conducteurs pour l'Energétique (CRTSE),Algeria
non-affiliated author contributions,Algeria
University of Science and Technology Houari Boumedienne (USTHB),Algeria
Mohamed Lamine Debaghine Setif 2 University,Algeria
University of Algiers 2,Algeria
Constantine 1 University,Algeria
Higher National Veterinary School,Algeria
Institut d'Estudis Andorrans (IEA),Andorra
Instituto Superior Politécnico de Tecnologia e Ciências (ISPTEC),Angola
National Scientific and Technical Research Council (CONICET),Argentina
University of Buenos Aires (UBA),Argentina
National University of La Plata (UNLP),Argentina
National Atomic Energy Commission (CNEA),Argentina
National University of Cuyo (UNCUYO),Argentina
National University of Córdoba (UNC),Argentina
National University of General San Martín (UNSAM),Argentina
National University of Mar Del Plata (UNMdP),Argentina
Rosario National University (UNR),Argentina
National University of Tucumán (UNT),Argentina
Servicio Meteorológico Nacional (SMN),Argentina
National University of Comahue (UNCo),Argentina
National University of Quilmes (UNQ),Argentina
Pontifical Catholic University of Argentina (UCA),Argentina
Buenos Aires Institute of Technology (ITBA),Argentina
National University of the Patagonia San Juan Bosco (UNPSJB),Argentina
National University of the Litoral (UNL),Argentina
National University of San Luis (UNSL),Argentina
National University of San Juan (UNSJ),Argentina
Laboratorio de Investigaciones en Hormigas (LIHO),Argentina
National University of South (UNS),Argentina
Argentina Ministry of Defense (MINDEF),Argentina
Comisión de Investigaciones Científicas (CIC),Argentina
University of Mendoza (UM),Argentina
National Administration of Laboratories and Health Institutes (ANLIS),Argentina
Hospital de Gastroenterología Carlos Bonorino Udaondo,Argentina
Glaciarium - Interpretive Centre,Argentina
Fundación para Investigaciones Biológicas Aplicadas (FIBA),Argentina
Instituto de Conservación de Ballenas,Argentina
National Institute of Industrial Technology (INTI),Argentina
National Technological University (UTN),Argentina
Servicio de Hidrografía Naval (SHN),Argentina
"UNIDEF, CITEDEF-CONICET",Argentina
National University of Salta (UNSa),Argentina
National University of Misiones (UNAM),Argentina
