Institution_fullName,Institution_withOut_abb,Institution_Abbreviation,country
Universidad Nacional de Hurlingham ( UNAHUR),Universidad Nacional de Hurlingham ( UNAHUR),UNAHUR,Argentina
"1QB Information Technologies, Inc.","1QB Information Technologies, Inc.",1QBit,Canada
International Institute for Water and Environmental Engineering,International Institute for Water and Environmental Engineering,2iE,Burkina Faso
Two Oceans In Health,Two Oceans In Health,2OiH,Dominican Republic
Dassault Systèmes,Dassault Systèmes,3DS,France
"Agency for Science, Technology and Research (A*STAR)","Agency for Science, Technology and Research (A*STAR)",A*STAR,Singapore
North Carolina Agricultural and Technical State University (A&T),North Carolina Agricultural and Technical State University (A&T),A&T,United States of America (USA)
Federal Foreign Office,Federal Foreign Office,AA,Germany
Agriculture and Agri-Food Canada,Agriculture and Agri-Food Canada,AAFC,Canada
Afro-Asian Institute,Afro-Asian Institute,AAI,Pakistan
Astronomy Australia Limited,Astronomy Australia Limited,AAL,Australia
Australian Astronomical Observatory,Australian Astronomical Observatory,AAO,Australia
American Academy of Pediatrics,American Academy of Pediatrics,AAP,United States of America (USA)
Ayub Agriculture Research Institute,Ayub Agriculture Research Institute,AARI,Pakistan
"Arab Academy for Science, Technology and Maritime Transport","Arab Academy for Science, Technology and Maritime Transport",AASTMT,Egypt
Addis Ababa Science and Technology University,Addis Ababa Science and Technology University,AASTU,Ethiopia
Anhui Agricultural University,Anhui Agricultural University,AAU,China
University of Aalborg,University of Aalborg,AAU,Denmark
Addis Ababa University,Addis Ababa University,AAU,Ethiopia
Astrobiology Center,Astrobiology Center,ABC,Japan
Algarve Biomedical Center,Algarve Biomedical Center,ABC,Portugal
American Bird Conservancy,American Bird Conservancy,ABC,United States of America (USA)
Asociación Bienestar y Desarrollo,Asociación Bienestar y Desarrollo,ABD,Spain
Applied Biological Materials (ABM) Inc.,Applied Biological Materials (ABM) Inc.,ABM,Canada
Archbold Biological Station,Archbold Biological Station,ABS,United States of America (USA)
Ahmadu Bello University,Ahmadu Bello University,ABU,Nigeria
Alborz University of Medical Sciences,Alborz University of Medical Sciences,ABZUMS,Iran
Arab Community Center for Economic and Social Services,Arab Community Center for Economic and Social Services,ACCESS,United States of America (USA)
"Advanced Cell Diagnostics, Inc.","Advanced Cell Diagnostics, Inc.",ACD,United States of America (USA)
Barcelona Alzheimer Treatment and Research Center,Barcelona Alzheimer Treatment and Research Center,ACE,Spain
"Academic Center for Education, Culture and Research","Academic Center for Education, Culture and Research",ACECR,Iran
Auckland City Hospital,Auckland City Hospital,ACH,New Zealand
Arkansas Children's Hospital,Arkansas Children's Hospital,ACH,United States of America (USA)
Austrian Centre of Industrial Biotechnology,Austrian Centre of Industrial Biotechnology,ACIB,Austria
American Center for Life Cycle Assessment,American Center for Life Cycle Assessment,ACLCA,United States of America (USA)
Austrian Cooperative Research,Austrian Cooperative Research,ACR,Austria
American Cancer Society,American Cancer Society,ACS,United States of America (USA)
Academy of Scientific and Innovative Research,Academy of Scientific and Innovative Research,AcSIR,India
Australian Catholic University,Australian Catholic University,ACU,Australia
Acibadem Mehmet Ali Aydinlar University,Acibadem Mehmet Ali Aydinlar University,ACU,Turkey
Austria Center Vienna,Austria Center Vienna,ACV,Austria
Alameda County Water District,Alameda County Water District,ACWD,United States of America (USA)
South Korea Agency for Defense Development,South Korea Agency for Defense Development,ADD,South Korea
Aichi Developmental Disability Center,Aichi Developmental Disability Center,ADDC,Japan
The University of Adelaide (Adelaide Uni),The University of Adelaide (Adelaide Uni),Adelaide Uni,Australia
Alaska Department of Fish and Game (ADF&G),Alaska Department of Fish and Game (ADF&G),ADF&G,United States of America (USA)
"Analog Devices, Inc.","Analog Devices, Inc.",ADI,United States of America (USA)
Anti-Doping Laboratory Qatar,Anti-Doping Laboratory Qatar,ADLQ,Qatar
Association of Computer and Information Sciences Engineering Departments at Minority Institutions,Association of Computer and Information Sciences Engineering Departments at Minority Institutions,ADMI,United States of America (USA)
Asbestos Diseases Research Institute,Asbestos Diseases Research Institute,ADRI,Australia
Atomic Energy Council,Atomic Energy Council,AEC,Taiwan
Spanish Weather Service,Spanish Weather Service,AEMET,Spain
Alberta Environment and Parks,Alberta Environment and Parks,AEP,Canada
"Atmospheric and Environmental Research, Inc.","Atmospheric and Environmental Research, Inc.",AER,United States of America (USA)
"Armitage Environmental Sciences, Inc.","Armitage Environmental Sciences, Inc.",AES,Canada
Agri-Food and Biosciences Institute,Agri-Food and Biosciences Institute,AFBI,United Kingdom (UK)
Advanced Functional Fabrics of America,Advanced Functional Fabrics of America,AFFOA,United States of America (USA)
Australian Football League,Australian Football League,AFL,Australia
French Muscular Dystrophy Association (AFM-Téléthon),French Muscular Dystrophy Association (AFM-Téléthon),AFM-Téléthon,France
Americans for Financial Reform,Americans for Financial Reform,AFR,United States of America (USA)
Africa Centres for Disease Control and Prevention (Africa CDC),Africa Centres for Disease Control and Prevention (Africa CDC),Africa CDC,Ethiopia
Africa Rice Center,Africa Rice Center,AfricaRice,Benin
Thailand Armed Forces Research Institute of Medical Sciences,Thailand Armed Forces Research Institute of Medical Sciences,AFRIMS,Thailand
African Society of Human Genetics,African Society of Human Genetics,AfSHG,United States of America (USA)
Africa Soil Information Service,Africa Soil Information Service,AfSIS,Tanzania
Aspen Global Change Institute,Aspen Global Change Institute,AGCI,United States of America (USA)
Academy of Geriatric Cancer Research,Academy of Geriatric Cancer Research,AgeCare,Denmark
Norwegian National Advisory Unit on Ageing and Health (Ageing and Health),Norwegian National Advisory Unit on Ageing and Health (Ageing and Health),Ageing and Health,Norway
AGH University of Science and Technology (AGH UST),AGH University of Science and Technology (AGH UST),AGH UST,Poland
Alpha Genesis Inc.,Alpha Genesis Inc.,AGI,United States of America (USA)
"Institut National Supérieur des Sciences Agronomiques, Agroalimentaires, Horticoles et du Paysage (Agrocampus Ouest)","Institut National Supérieur des Sciences Agronomiques, Agroalimentaires, Horticoles et du Paysage (Agrocampus Ouest)",Agrocampus Ouest,France
Corporacion Colombiana de Investigacion Agropecuaria,Corporacion Colombiana de Investigacion Agropecuaria,AGROSAVIA,Colombia
Applied GeoSolutions,Applied GeoSolutions,AGS,United States of America (USA)
Arabian Gulf University,Arabian Gulf University,AGU,Bahrain
Aichi Gakuin University,Aichi Gakuin University,AGU,Japan
Angkor Hospital for Children,Angkor Hospital for Children,AHC,Cambodia
University General Hospital of Thessaloniki,University General Hospital of Thessaloniki,AHEPA,Greece
Anhui Jianzhu University,Anhui Jianzhu University,AHJZU,China
Amsterdam University of the Arts,Amsterdam University of the Arts,AHK,Netherlands
Anhui Medical University,Anhui Medical University,AHMU,China
Allegheny Health Network,Allegheny Health Network,AHN,United States of America (USA)
Anhui Normal University,Anhui Normal University,AHNU,China
Armauer Hansen Research Institute,Armauer Hansen Research Institute,AHRI,Ethiopia
Ananthapuri Hospitals and Research Institute,Ananthapuri Hospitals and Research Institute,AHRI,India
Alberta Health Services,Alberta Health Services,AHS,Canada
Animal Health Trust,Animal Health Trust,AHT,United Kingdom (UK)
Anhui University,Anhui University,AHU,China
Anhui University of Chinese Medicine,Anhui University of Chinese Medicine,AHUTCM,China
Asociación Ai Laket!! Euskadi Elkartea (Ai Laket !!),Asociación Ai Laket!! Euskadi Elkartea (Ai Laket !!),Ai Laket !!,Spain
All India Institutes of Medical Sciences,All India Institutes of Medical Sciences,AIIMS,India
Australian Institute of Marine Science,Australian Institute of Marine Science,AIMS,Australia
African Institute for Mathematical Sciences,African Institute for Mathematical Sciences,AIMS,South Africa
Asian Institute of Public Health,Asian Institute of Public Health,AIPH,India
Italian Multiple Sclerosis Society,Italian Multiple Sclerosis Society,AISM,Italy
African Institutes of Science and Technology,African Institutes of Science and Technology,AIST,International
National Institute of Advanced Industrial Science and Technology,National Institute of Advanced Industrial Science and Technology,AIST,Japan
Aichi Institute of Technology,Aichi Institute of Technology,AIT,Japan
Australian Institute of Tropical Health and Medicine (AITHM) JCU,Australian Institute of Tropical Health and Medicine,AITHM,Australia
Ajou University,Ajou University,AJOU,South Korea
Aga Khan para o Desenvolvimento,Aga Khan para o Desenvolvimento,AKDN,Mozambique
Aminu Kano Teaching Hospital,Aminu Kano Teaching Hospital,AKTH,Nigeria
Dr. A.P.J. Abdul Kalam Technical University,Dr. A.P.J. Abdul Kalam Technical University,AKTU,India
Aksum University,Aksum University,AKU,Ethiopia
Aga Khan University,Aga Khan University,AKU,Pakistan
France Ministry of Agriculture and Food (Alim'agri),France Ministry of Agriculture and Food (Alim'agri),Alim'agri,France
Greek Association of Alzheimer’s Disease and Related Disorders (Alzheimer Hellas),Greek Association of Alzheimer’s Disease and Related Disorders (Alzheimer Hellas),Alzheimer Hellas,Greece
Argentine Medical Association,Argentine Medical Association,AMA,Argentina
Amdavad Municipal Corporation,Amdavad Municipal Corporation,AMC,India
The Foundation for AIDS Research,The Foundation for AIDS Research,amfAR,United States of America (USA)
Amt für Mittel- und Hochschulen (AMH) Thurgau,Amt für Mittel- und Hochschulen (AMH) Thurgau,AMH,Switzerland
Archaeological Museum of Istria,Archaeological Museum of Istria,AMI,Croatia
American Museum of Natural History,American Museum of Natural History,AMNH,United States of America (USA)
